"seq","age","workclass","education","educational.num","marital.status","race","gender","hours.per.week","income"
"63",19,"Private","Some-college",10,"Never-married","White","Male",20,"<=50K"
"64",46,"Private","HS-grad",9,"Separated","White","Male",40,"<=50K"
"65",43,"Private","HS-grad",9,"Married-civ-spouse","White","Male",48,"<=50K"
"66",55,"Private","Some-college",10,"Married-civ-spouse","White","Male",45,">50K"
"67",46,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,"<=50K"
"68",30,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"69",21,"Private","Some-college",10,"Separated","White","Female",40,"<=50K"
"70",46,"Private","Some-college",10,"Married-civ-spouse","Other","Male",40,"<=50K"
"71",41,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"72",69,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",30,"<=50K"
"73",50,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"74",20,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"75",45,"Self-emp-inc","Some-college",10,"Married-civ-spouse","White","Male",50,"<=50K"
"76",23,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"77",24,"Private","Some-college",10,"Separated","White","Male",40,"<=50K"
"78",44,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"79",31,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",50,"<=50K"
"80",43,"Private","HS-grad",9,"Separated","White","Female",44,"<=50K"
"81",20,"Federal-gov","11th",7,"Never-married","White","Female",10,"<=50K"
"82",55,"Private","HS-grad",9,"Married-civ-spouse","White","Male",56,">50K"
"83",24,"Federal-gov","Some-college",10,"Never-married","White","Male",40,"<=50K"
"84",59,"Private","Bachelors",13,"Never-married","White","Female",25,"<=50K"
"85",49,"Federal-gov","7th-8th",4,"Never-married","Black","Male",20,"<=50K"
"86",33,"Private","Masters",14,"Married-civ-spouse","White","Female",10,">50K"
"87",59,"Federal-gov","Bachelors",13,"Divorced","White","Male",40,"<=50K"
"88",34,"Private","Masters",14,"Never-married","Amer-Indian-Eskimo","Male",40,"<=50K"
"89",20,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"90",25,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"91",49,"Private","10th",6,"Married-civ-spouse","White","Male",40,"<=50K"
"92",59,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"93",20,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"94",33,"Private","Some-college",10,"Never-married","Black","Female",35,"<=50K"
"95",22,"Private","Some-college",10,"Never-married","Black","Male",39,"<=50K"
"96",58,"Self-emp-not-inc","9th",5,"Widowed","White","Female",40,"<=50K"
"97",52,"Local-gov","HS-grad",9,"Widowed","White","Female",28,"<=50K"
"98",36,"Private","10th",6,"Separated","White","Female",40,"<=50K"
"99",41,"Local-gov","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"100",28,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"101",19,"Private","Some-college",10,"Never-married","Black","Male",16,"<=50K"
"102",18,"Private","HS-grad",9,"Never-married","White","Female",28,"<=50K"
"103",18,"Private","HS-grad",9,"Never-married","White","Female",48,"<=50K"
"104",28,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"105",29,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,">50K"
"106",40,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"107",26,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"108",46,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"109",23,"Private","11th",7,"Never-married","White","Female",24,"<=50K"
"110",44,"Private","HS-grad",9,"Married-spouse-absent","White","Female",40,"<=50K"
"111",43,"Private","Bachelors",13,"Divorced","White","Female",40,">50K"
"112",31,"Local-gov","Bachelors",13,"Divorced","White","Female",60,"<=50K"
"113",18,"Private","Some-college",10,"Never-married","White","Female",25,"<=50K"
"114",19,"Private","Some-college",10,"Never-married","White","Male",30,"<=50K"
"115",41,"Private","Some-college",10,"Divorced","White","Female",40,"<=50K"
"116",41,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"117",69,"Private","HS-grad",9,"Divorced","White","Female",25,"<=50K"
"118",48,"Federal-gov","Doctorate",16,"Married-civ-spouse","White","Female",40,">50K"
"119",28,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"120",27,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",60,">50K"
"121",41,"Private","Masters",14,"Married-civ-spouse","White","Male",50,">50K"
"122",41,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"123",24,"Private","HS-grad",9,"Never-married","Black","Female",40,"<=50K"
"124",42,"Self-emp-inc","Doctorate",16,"Married-civ-spouse","White","Male",41,">50K"
"125",57,"Private","HS-grad",9,"Married-civ-spouse","Black","Male",48,"<=50K"
"126",30,"Private","Assoc-acdm",12,"Never-married","White","Female",40,"<=50K"
"127",36,"Private","HS-grad",9,"Married-civ-spouse","White","Male",60,">50K"
"128",49,"Private","7th-8th",4,"Married-civ-spouse","Black","Male",40,"<=50K"
"129",33,"Private","HS-grad",9,"Married-civ-spouse","White","Female",35,"<=50K"
"130",23,"Private","10th",6,"Married-civ-spouse","White","Male",40,"<=50K"
"131",46,"Private","Masters",14,"Married-civ-spouse","White","Male",40,"<=50K"
"132",18,"Private","Some-college",10,"Never-married","Asian-Pac-Islander","Female",22,"<=50K"
"133",40,"Private","HS-grad",9,"Married-civ-spouse","White","Male",55,">50K"
"134",43,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",45,">50K"
"135",34,"Private","Masters",14,"Never-married","White","Female",30,"<=50K"
"136",47,"Self-emp-not-inc","HS-grad",9,"Widowed","White","Female",30,"<=50K"
"137",44,"Private","Assoc-voc",11,"Widowed","White","Female",30,"<=50K"
"138",33,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"139",55,"Private","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"140",19,"Private","HS-grad",9,"Never-married","White","Male",30,"<=50K"
"141",28,"Private","Some-college",10,"Never-married","Black","Male",14,"<=50K"
"142",27,"Private","11th",7,"Married-civ-spouse","Black","Female",32,"<=50K"
"143",50,"Private","7th-8th",4,"Married-civ-spouse","White","Male",20,"<=50K"
"144",22,"Private","11th",7,"Never-married","White","Male",40,"<=50K"
"145",40,"State-gov","Bachelors",13,"Married-civ-spouse","White","Male",45,">50K"
"146",25,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"147",26,"Local-gov","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"148",22,"Private","Bachelors",13,"Never-married","White","Male",25,"<=50K"
"149",42,"Private","Some-college",10,"Never-married","Black","Female",40,"<=50K"
"150",38,"Self-emp-inc","Bachelors",13,"Divorced","White","Male",40,"<=50K"
"151",55,"Private","11th",7,"Married-civ-spouse","White","Male",30,"<=50K"
"152",32,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"153",22,"Private","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"154",29,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"155",46,"State-gov","Masters",14,"Married-civ-spouse","White","Male",45,">50K"
"156",31,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"157",58,"Self-emp-not-inc","Doctorate",16,"Married-civ-spouse","White","Male",16,">50K"
"158",42,"Private","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"159",18,"Private","HS-grad",9,"Never-married","White","Male",25,"<=50K"
"160",58,"Local-gov","HS-grad",9,"Divorced","White","Male",33,"<=50K"
"161",54,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"162",34,"Private","Masters",14,"Never-married","White","Male",40,"<=50K"
"163",26,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"164",61,"Private","12th",8,"Married-civ-spouse","White","Male",60,"<=50K"
"165",48,"Local-gov","Masters",14,"Separated","Black","Female",40,"<=50K"
"166",36,"Private","Some-college",10,"Married-civ-spouse","White","Male",45,">50K"
"167",24,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",45,"<=50K"
"168",40,"Private","Some-college",10,"Married-civ-spouse","White","Male",37,"<=50K"
"169",33,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"170",37,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"171",34,"Private","Masters",14,"Never-married","White","Male",40,"<=50K"
"172",56,"Self-emp-inc","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"173",37,"Private","Bachelors",13,"Widowed","White","Female",55,"<=50K"
"174",44,"Private","HS-grad",9,"Divorced","Black","Female",40,"<=50K"
"175",54,"Private","HS-grad",9,"Divorced","White","Male",45,"<=50K"
"176",23,"Private","HS-grad",9,"Never-married","White","Male",50,"<=50K"
"177",34,"State-gov","Bachelors",13,"Married-spouse-absent","Black","Male",40,"<=50K"
"178",22,"Private","HS-grad",9,"Never-married","White","Female",45,"<=50K"
"179",33,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"180",39,"Private","Bachelors",13,"Separated","White","Male",50,">50K"
"181",47,"Private","Some-college",10,"Divorced","Black","Female",37,"<=50K"
"182",26,"Private","HS-grad",9,"Never-married","Black","Female",55,"<=50K"
"183",31,"Private","Some-college",10,"Divorced","White","Female",40,"<=50K"
"184",44,"Private","Some-college",10,"Never-married","White","Male",45,"<=50K"
"185",42,"Self-emp-inc","Prof-school",15,"Married-civ-spouse","White","Female",50,">50K"
"186",19,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"187",27,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"188",51,"Local-gov","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"189",28,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",50,"<=50K"
"190",57,"Private","Bachelors",13,"Divorced","White","Male",45,"<=50K"
"191",45,"Local-gov","Bachelors",13,"Divorced","White","Female",40,"<=50K"
"192",50,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,">50K"
"193",34,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",54,"<=50K"
"194",45,"Private","7th-8th",4,"Married-civ-spouse","Black","Male",40,"<=50K"
"195",73,"Local-gov","HS-grad",9,"Married-civ-spouse","White","Male",20,"<=50K"
"196",34,"Private","Bachelors",13,"Married-civ-spouse","White","Female",50,">50K"
"197",31,"Private","Some-college",10,"Married-civ-spouse","White","Male",55,">50K"
"198",19,"Private","11th",7,"Never-married","White","Male",12,"<=50K"
"199",25,"Private","Some-college",10,"Never-married","White","Female",50,"<=50K"
"200",38,"Federal-gov","Assoc-voc",11,"Divorced","White","Female",40,"<=50K"
"201",39,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"202",23,"Private","Bachelors",13,"Never-married","Black","Female",32,"<=50K"
"203",49,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"204",33,"Federal-gov","HS-grad",9,"Never-married","White","Male",32,"<=50K"
"205",21,"Private","5th-6th",3,"Never-married","White","Male",38,"<=50K"
"206",31,"Private","Assoc-voc",11,"Separated","White","Male",40,"<=50K"
"207",23,"Private","Bachelors",13,"Never-married","White","Female",45,"<=50K"
"208",34,"Private","Bachelors",13,"Married-civ-spouse","Asian-Pac-Islander","Male",40,"<=50K"
"209",25,"Private","HS-grad",9,"Never-married","Asian-Pac-Islander","Female",40,"<=50K"
"210",39,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"211",52,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"212",63,"Local-gov","9th",5,"Married-civ-spouse","White","Male",40,">50K"
"213",41,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"214",46,"Private","Bachelors",13,"Married-civ-spouse","White","Male",38,">50K"
"215",53,"Local-gov","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"216",18,"Private","12th",8,"Never-married","White","Male",40,"<=50K"
"217",38,"Private","Prof-school",15,"Married-civ-spouse","White","Male",50,"<=50K"
"218",55,"Private","Masters",14,"Never-married","Asian-Pac-Islander","Female",50,"<=50K"
"219",34,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"220",80,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",30,"<=50K"
"221",34,"Private","Assoc-voc",11,"Divorced","White","Female",60,"<=50K"
"222",52,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"223",42,"Private","HS-grad",9,"Never-married","Black","Female",28,"<=50K"
"224",26,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"225",31,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"226",25,"Local-gov","HS-grad",9,"Never-married","White","Female",35,"<=50K"
"227",55,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",60,"<=50K"
"228",19,"Private","Some-college",10,"Never-married","White","Female",12,"<=50K"
"229",62,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",32,"<=50K"
"230",22,"Federal-gov","Some-college",10,"Never-married","White","Female",20,"<=50K"
"231",35,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"232",28,"Private","HS-grad",9,"Married-civ-spouse","White","Female",40,"<=50K"
"233",47,"Private","HS-grad",9,"Married-civ-spouse","White","Male",70,">50K"
"234",44,"State-gov","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"235",21,"Private","Some-college",10,"Never-married","White","Male",15,"<=50K"
"236",35,"Private","Assoc-voc",11,"Never-married","White","Male",50,"<=50K"
"237",24,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"238",42,"Federal-gov","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"239",28,"Private","Bachelors",13,"Never-married","White","Male",50,"<=50K"
"240",21,"Private","Some-college",10,"Never-married","White","Male",35,"<=50K"
"241",62,"Federal-gov","Some-college",10,"Divorced","Black","Male",40,"<=50K"
"242",39,"Private","HS-grad",9,"Never-married","Black","Female",40,"<=50K"
"243",30,"State-gov","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"244",72,"Self-emp-not-inc","Prof-school",15,"Never-married","White","Male",20,"<=50K"
"245",50,"Private","Some-college",10,"Married-civ-spouse","White","Female",50,"<=50K"
"246",28,"Local-gov","Masters",14,"Never-married","White","Male",40,"<=50K"
"247",29,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"248",26,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"249",27,"Private","Masters",14,"Never-married","White","Female",40,"<=50K"
"250",29,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"251",29,"Private","10th",6,"Married-civ-spouse","White","Male",25,"<=50K"
"252",31,"Private","11th",7,"Married-civ-spouse","White","Female",20,"<=50K"
"253",25,"Private","HS-grad",9,"Married-civ-spouse","White","Male",75,"<=50K"
"254",58,"Private","10th",6,"Married-civ-spouse","White","Male",40,">50K"
"255",64,"Private","Some-college",10,"Married-civ-spouse","White","Female",40,">50K"
"256",46,"State-gov","Masters",14,"Never-married","White","Male",38,"<=50K"
"257",19,"Private","HS-grad",9,"Never-married","Amer-Indian-Eskimo","Female",35,"<=50K"
"258",42,"Private","HS-grad",9,"Divorced","Black","Male",52,"<=50K"
"259",18,"Private","11th",7,"Never-married","White","Male",24,"<=50K"
"260",58,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"261",20,"Private","Some-college",10,"Never-married","Black","Male",60,"<=50K"
"262",35,"Federal-gov","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"263",32,"Private","HS-grad",9,"Married-civ-spouse","White","Male",38,">50K"
"264",23,"Private","HS-grad",9,"Never-married","White","Female",25,"<=50K"
"265",31,"Private","Some-college",10,"Divorced","White","Female",40,"<=50K"
"266",33,"Private","Bachelors",13,"Married-civ-spouse","Black","Male",55,"<=50K"
"267",41,"Private","Some-college",10,"Never-married","White","Female",48,"<=50K"
"268",22,"Private","HS-grad",9,"Never-married","Black","Male",40,"<=50K"
"269",46,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"270",61,"Federal-gov","Some-college",10,"Married-civ-spouse","Black","Male",40,"<=50K"
"271",30,"Private","HS-grad",9,"Never-married","Black","Male",40,"<=50K"
"272",42,"Private","HS-grad",9,"Married-civ-spouse","White","Male",55,">50K"
"273",63,"Private","10th",6,"Married-civ-spouse","White","Male",40,"<=50K"
"274",26,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"275",42,"Private","10th",6,"Divorced","White","Female",40,"<=50K"
"276",23,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"277",25,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"278",30,"Private","9th",5,"Married-civ-spouse","White","Male",32,">50K"
"279",23,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"280",34,"Self-emp-not-inc","Assoc-voc",11,"Never-married","White","Male",60,">50K"
"281",30,"Private","HS-grad",9,"Married-civ-spouse","White","Male",48,"<=50K"
"282",39,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"283",30,"Private","11th",7,"Never-married","White","Male",38,"<=50K"
"284",38,"Local-gov","Some-college",10,"Divorced","White","Female",38,"<=50K"
"285",26,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"286",20,"Private","Some-college",10,"Never-married","White","Male",16,"<=50K"
"287",37,"Local-gov","Bachelors",13,"Never-married","Black","Male",40,"<=50K"
"288",33,"Private","HS-grad",9,"Married-civ-spouse","White","Female",40,"<=50K"
"289",24,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"290",42,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",60,">50K"
"291",51,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Asian-Pac-Islander","Male",84,"<=50K"
"292",56,"Local-gov","Assoc-acdm",12,"Married-civ-spouse","White","Male",45,">50K"
"293",22,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"294",52,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",60,"<=50K"
"295",44,"Private","Bachelors",13,"Divorced","White","Female",45,">50K"
"296",34,"Private","HS-grad",9,"Married-civ-spouse","White","Female",35,"<=50K"
"297",51,"Private","Some-college",10,"Divorced","White","Male",42,">50K"
"298",19,"Private","Some-college",10,"Never-married","White","Female",25,"<=50K"
"299",37,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"300",68,"Private","HS-grad",9,"Married-civ-spouse","Black","Male",40,">50K"
"301",22,"Private","Some-college",10,"Divorced","White","Male",40,"<=50K"
"302",56,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"303",37,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"304",52,"Private","1st-4th",2,"Married-civ-spouse","White","Male",40,"<=50K"
"305",26,"Private","HS-grad",9,"Separated","White","Male",40,"<=50K"
"306",33,"Private","Masters",14,"Married-civ-spouse","White","Male",50,"<=50K"
"307",45,"Local-gov","Masters",14,"Divorced","White","Female",42,"<=50K"
"308",18,"Private","11th",7,"Never-married","White","Male",15,"<=50K"
"309",43,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",60,">50K"
"310",64,"Self-emp-not-inc","Doctorate",16,"Married-civ-spouse","White","Male",50,">50K"
"311",18,"Private","HS-grad",9,"Never-married","White","Male",20,"<=50K"
"312",57,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"313",41,"Private","HS-grad",9,"Divorced","White","Female",42,"<=50K"
"314",34,"Private","Masters",14,"Married-civ-spouse","White","Male",50,">50K"
"315",19,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"316",44,"Private","9th",5,"Divorced","White","Female",55,"<=50K"
"317",56,"Private","10th",6,"Widowed","White","Female",40,"<=50K"
"318",36,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",80,"<=50K"
"319",48,"Private","Bachelors",13,"Divorced","White","Female",48,"<=50K"
"320",29,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"321",33,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"322",31,"Private","5th-6th",3,"Married-civ-spouse","White","Male",40,"<=50K"
"323",39,"Private","Masters",14,"Married-civ-spouse","White","Male",45,">50K"
"324",66,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"325",27,"Private","Bachelors",13,"Never-married","White","Female",50,">50K"
"326",39,"Private","HS-grad",9,"Divorced","Black","Female",40,">50K"
"327",59,"Private","7th-8th",4,"Married-civ-spouse","White","Male",50,">50K"
"328",26,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"329",31,"Private","Assoc-voc",11,"Divorced","White","Male",40,"<=50K"
"330",23,"Private","HS-grad",9,"Never-married","White","Male",30,"<=50K"
"331",36,"Local-gov","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"332",34,"Private","Some-college",10,"Married-civ-spouse","White","Female",12,">50K"
"333",32,"Private","HS-grad",9,"Married-civ-spouse","White","Male",84,">50K"
"334",37,"Private","Bachelors",13,"Married-civ-spouse","Black","Male",50,">50K"
"335",33,"Private","Bachelors",13,"Never-married","White","Male",45,"<=50K"
"336",50,"Self-emp-not-inc","Prof-school",15,"Married-civ-spouse","White","Male",80,">50K"
"337",32,"Federal-gov","Assoc-acdm",12,"Never-married","Black","Male",40,"<=50K"
"338",35,"Private","Bachelors",13,"Never-married","Black","Female",40,"<=50K"
"339",37,"Private","11th",7,"Married-civ-spouse","White","Male",40,"<=50K"
"340",44,"Private","Some-college",10,"Divorced","White","Male",60,"<=50K"
"341",57,"Private","Some-college",10,"Divorced","White","Male",25,"<=50K"
"342",29,"Local-gov","Some-college",10,"Married-civ-spouse","White","Female",40,"<=50K"
"343",55,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"344",43,"Self-emp-inc","Prof-school",15,"Married-civ-spouse","White","Male",25,">50K"
"345",43,"Private","Some-college",10,"Married-civ-spouse","White","Male",70,"<=50K"
"346",45,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",60,">50K"
"347",33,"Self-emp-not-inc","Masters",14,"Married-civ-spouse","White","Female",8,"<=50K"
"348",26,"Private","10th",6,"Divorced","White","Female",40,"<=50K"
